msa_code,msa_title,state,min_long,min_lat,max_long,max_lat,center_long,center_lat,radius
C3750,"Paragould, AR MicroSA",Arkansas,-90.860168,35.964691,-90.190186,36.26805,-90.525177,36.1163705,30992
C3168,"Malvern, AR MicroSA",Arkansas,-93.40818,34.149645,-92.668654,34.506132,-93.03841700000001,34.3278885,34209
C1290,"Batesville, AR MicroSA",Arkansas,-91.871023,35.526333,-91.19765,35.942849,-91.5343365,35.734591,31149
C4550,"Texarkana, TX-AR MSA",Arkansas,-94.747063,33.019245,-93.664906,33.94529,-94.2059845,33.4822675,59972
C1418,"Blytheville, AR MicroSA",Arkansas,-90.289076,35.389277,-89.640997,36.00086,-89.9650365,35.695068500000005,39607
C2576,"Helena-West Helena, AR MicroSA",Arkansas,-91.117918,34.118515,-90.539623,34.64572,-90.8287705,34.3821175,34142
C4078,"Russellville, AR MicroSA",Arkansas,-93.709992,34.743318,-92.809745,35.728873,-93.25986850000001,35.236095500000005,63826
C2262,"Forrest City, AR MicroSA",Arkansas,-91.152498,34.867101,-90.400438,35.149117,-90.776468,35.008109,34789
C2098,"El Dorado, AR MicroSA",Arkansas,-92.988775,33.00799,-92.06893,33.387893,-92.5288525,33.1979415,42550
C4262,"Searcy, AR MicroSA",Arkansas,-92.119748,35.020638,-91.345325,35.534311,-91.73253650000001,35.2774745,35823
C4186,"San Francisco-Oakland-Hayward, CA MSA",California,-123.173825,37.053858,-121.469214,38.321227,-122.3215195,37.6875425,82077
C1702,"Chico, CA MSA",California,-122.069431,39.295621,-121.076695,40.152024,-121.57306299999999,39.7238225,55462
C1886,"Crescent City, CA MicroSA",California,-124.440707,41.380776,-123.517911,42.000787,-123.979309,41.6907815,42687
C4090,"Sacramento--Roseville--Arden-Arcade, CA MSA",California,-122.422048,38.018421,-119.877248,39.316496,-121.149648,38.667458499999995,117719
C2342,"Fresno, CA MSA",California,-120.918731,35.906914,-118.360586,37.585837,-119.6396585,36.7463755,118336
C2170,"Eureka-Arcata-Fortuna, CA MicroSA",California,-124.482003,40.001248,-123.40604,41.465846,-123.9440215,40.733547,94850
C2094,"El Centro, CA MSA",California,-116.106272,32.61848,-114.46289,33.433814,-115.284581,33.026146999999995,76020
C1254,"Bakersfield, CA MSA",California,-120.194369,34.788655,-117.616517,35.798392,-118.90544299999999,35.2935235,119248
C2526,"Hanford-Corcoran, CA MSA",California,-120.315068,35.78858,-119.474354,36.488962,-119.894711,36.138771000000006,45358
C1734,"Clearlake, CA MicroSA",California,-123.094216,38.667506,-122.340172,39.5814,-122.717194,39.124453,59185
C4500,"Susanville, CA MicroSA",California,-121.332338,39.707658,-119.995598,41.184514,-120.663968,40.446086,95644
C3108,"Los Angeles-Long Beach-Anaheim, CA MSA",California,-118.951721,32.75004,-117.412987,34.823302,-118.182354,33.786671,134269
C3146,"Madera, CA MSA",California,-120.545536,36.763047,-119.022363,37.777986,-119.7839495,37.2705165,70460
C4638,"Ukiah, CA MicroSA",California,-124.134889,38.758119,-122.821355,40.00247,-123.478122,39.380294500000005,80586
C3290,"Merced, CA MSA",California,-121.248647,36.740381,-120.052055,37.633364,-120.650351,37.1868725,57831
